idSite;NomSite;"Typologie MTK"
316;LA TOUR DU PIN;BP
336;LA VERPILLERE CDIS;BP
209;LA VERPILLIERE;BP
88;LA VOULTE PDC;BP
105;LABLACHERE BPX;BP
38;LAGNIEU;PDC
39;LAGNIEU CC;BP
85;LALEVADE D ARDECHE CDIS;PDC
106;LALEVADE D'ARDECHE;BP
107;LAMASTRE;BP
108;LAMASTRE CC;BP
392;LANSLEBOURG MONTCENIS;BP
109;LARGENTIERE;BP
144;LAVEYRON PDC;PDC
358;LE BOURGET DU LAC BPX;PDC
385;LE CHATELARD;PDC
338;LE CHEYLAS GAB;BP
524;LE FAYET;PDC
267;LE GRAND LEMPS;BP
218;LE GRAND LEMPS CDIS;BP
457;LE PAS DE L'ECHELLE - BP;BP
346;LE PLATEAU DES PETITES ROCHES;BP
289;LE PONT DE CLAIX;BP
241;LE TOUVET;BP
246;LE TOUVET (DELOCALISATION);PDC
40;LELEX;BP
208;LES ABRETS;PDC
380;LES ARCS 1800;BP
278;LES DEUX ALPES;BP
388;LES ECHELLES;BP
403;LES MENUIRES;PDC
393;LESCHERAINES;PDC
41;LHUIS;BP
1;LHUIS GARAGE COMMUNAL;BP
334;L'ISLE D'ABEAU;PDC
174;LIVRON SUR DROME;Hors MTK
531;LOCAL POUR SYNDICAT CGT;BP
141;LORIOL LIVRON CDIS;BP
175;LORIOL SUR DROME;BP
176;LUC EN DIOIS;BP
511;LULLIN GAB;PDC
485;MAGLAND;BP
455;MARGENCEL;BP
506;MARIGNIER 2;PDC
486;MARNAZ;BP
487;MEGEVE;BP
271;MENS;BP
488;MENTHON SAINT BERNARD;PI
416;MERIBEL LES ALLUES;BP
3;MEXIMIEUX BP;BP
42;MEXIMIEUX CC;BP
223;MEYLAN CC;BP
272;MEYLAN VERCORS;BP
427;MEYTHET BUREAU DE POSTE;PDC
43;MEZERIAT;BP
76;MIRIBEL;PDC
394;MODANE HP;BP
232;MOIRANS;PDC
273;MOIRANS;PDC
274;MONESTIER DE CLERMONT;PDC
519;MONT SAXONNEX GAB;BP
275;MONTALIEU VERCIEU;BP
276;MONTALIEU VERCIEU GARAGE;PDC
277;MONTBONNOT ST MARTIN;BP
247;MONTBONNOT-D3C;PDC
177;MONTELIER BPX;BP
178;MONTELIMAR EUROPE;Hors MTK
146;MONTELIMAR PPDC;PDC
205;MONTELIMAR PRACOMPTAL BPX;BP
136;MONTELIMAR ST JAMES BPX;PI
44;MONTLUEL;BP
417;MONTMELIAN;BP
4;MONTMERLE SUR SAONE BP;BP
179;MONTMEYRAN BPX;BP
110;MONTPEZAT SOUS BAUZON;PDC
19;MONTREAL LA CLUSE;PDC
13;MONTREAL LA CLUSE PDC;PDC
45;MONTREVEL EN BRESSE;BP
69;MONTREVEL EN BRESSE PDC;BP
279;MORESTEL;BP
526;MORZINE;BP
180;MOURS SAINT EUSEBE;Hors MTK
418;MOUTIERS HP;BP
521;MUSIEGES COURRIER;BP
18;NANTUA;BP
396;NOVALAISE BPX;BP
181;NYONS;PDC
91;OLLIERES  (LES);PDC
77;OYONNAX;PDC
461;PASSY SAINT GERVAIS;BP
284;PEAGE DE ROUSSILLON;BP
111;PEAUGRES BPX;BP
46;PERONNAS;Hors MTK
269;PFC ALPES;BP
151;PIERRELATTE BP;BP
140;PIERRELATTE CC;PDC
285;PIN;BP
467;POISY LA BALME-ANNECY OUEST PDC;BP
489;POISY VILLAGE;BP
74;PONCIN;BP
47;PONT D AIN;PDC
287;PONT DE BEAUVOISIN;PDC
373;PONT DE BEAUVOISIN PDC;BP
288;PONT DE CHERUY;PDC
227;PONT DE CHERUY CC;BP
182;PONT DE L ISERE BPX;BP
48;PONT DE VAUX;PDC
49;PONT DE VEYLE;BP
291;PONT EN ROYANS;BP
290;PONT EVEQUE;BP
231;PONT EVEQUE CC;BP
286;PONTCHARRA;BP
183;PORTES LES VALENCE;PDC
112;POUZIN (LE);BP
50;PREVESSIN CERN;BP
51;PREVESSIN MOENS;PDC
490;PRINGY;PDC
113;PRIVAS;PDC
491;REIGNIER;BP
184;REMUZAT;BP
243;RENAGE;PDC
295;RIVES ILOT FACTEUR;BP
292;RIVES SUR FURE;PDC
185;ROCHE DE GLUN;BP
294;ROCHES DE CONDRIEU;Hors MTK
138;ROMANS CLC;BP
139;ROMANS LA MONNAIE BPX;PDC
186;ROMANS SUR ISERE;BP
132;ROSIERES PDC;BP
296;ROUSSILLON;BP
297;ROYBON;BP
492;RUMILLY;BP
450;RUMILLY CC;BP
114;RUOMS;BP
173;SAILLANS PDC;BP
55;SAINT GENIS POUILLY BP;BP
493;SAINT GERVAIS;BP
494;SAINT JEAN DE SIXT;BP
228;SAINT JEAN DE SOUDAIN CDIS;PDC
426;SAINT JORIOZ;BP
496;SAINT JULIEN EN GENEVOIS CENTRE;BP
248;SAINT MARCELLIN PDC;BP
443;SAINT PAUL EN CHABLAIS;PDC
497;SAINT PIERRE FAUCIGNY;BP
95;SAINT SAUVEUR DE MONTAGUT PDC;BP
305;SAINT-HILAIRE;BP
233;SALAISE SUR SANNE BP;BP
498;SALLANCHES;PDC
448;SALLANCHES CDIS;PDC
499;SAMOENS;BP
192;SAOU BPX;BP
313;SASSENAGE;PDC
220;SASSENAGE CTC;BP
122;SATILLIEU;BP
194;SAULCE SUR RHONE BPX;PDC
195;SAUZET;BP
378;SAVOIE TECHNOLAC AP;PDC
500;SCIONZIER;PDC
145;SEDERON BP;BP
123;SERRIERES;BP
59;SERRIERES DE BRIORD;BP
60;SERRIERES DE BRIORD GARAGE;BP
454;SEVRIER CDIS EXTENSION;BP
425;SEVRIER RIVE GAUCH DU LAC CDIS;BP
533;SEYNOD;BP
501;SEYSSEL;BP
213;SEYSSINET;PI
258;SEYSSINET LOCAL SYNDICAT;BP
115;ST AGREVE;PDC
368;ST ALBAN EN LEYSSE PDC;BP
397;ST ALBAN LEYSSE PLANCENAY;BP
52;ST ANDRE DE CORCY;PDC
400;ST BALDOPH;PDC
299;ST CHEF;PDC
300;ST CLAIR DU RHONE;PI
11;ST DIDIER SUR CHALARONNE BPX;BP
187;ST DONAT SUR L HERBASSE;PDC
240;ST EGREVE BP;PDC
230;ST EGREVE CC;BP
116;ST ETIENNE DE FONTBELLON BPX;PDC
301;ST ETIENNE DE ST GEOIRS;PDC
54;ST ETIENNE DU BOIS;BP
117;ST FELICIEN;PDC
29;ST GENIS POUILLY - TECHNOPARC;BP
302;ST GEOIRE EN VALDAINE;BP
234;ST GEORGES D ESPERANCHE;BP
459;ST GINGOLPH BP;BP
304;ST HILAIRE DU ROSIER;PDC
306;ST ISMIER;BP
307;ST JEAN DE BOURNAY;BP
